date,nav,spy
2020-01-02,10000.0,295.3917541503906
2020-01-03,9916.028319601019,293.1550598144531
2020-01-06,9930.76176122931,294.2734069824219
2020-01-07,9902.157522467287,293.44598388671875
2020-01-08,9946.452842976883,295.0100402832031
2020-01-09,10018.453258337251,297.0103454589844
2020-01-10,9987.405990052428,296.15557861328125
2020-01-13,10062.232973537477,298.1922912597656
2020-01-14,10063.165404271851,297.7377014160156
2020-01-15,10079.237327747436,298.410400390625
2020-01-16,10146.701303590475,300.8928527832031
2020-01-17,10203.20939290727,301.8293762207031
2020-01-21,10175.003455577493,301.2381896972656
2020-01-22,10197.657861148566,301.2746887207031
2020-01-23,10212.881766780229,301.6202697753906
2020-01-24,10147.484419547196,298.9378356933594
2020-01-27,10006.954078983857,294.1460876464844
2020-01-28,10094.002447211717,297.2284851074219
2020-01-29,10094.465390339004,296.98291015625
2020-01-30,10112.17026483412,297.94671630859375
2020-01-31,9911.785457851614,292.5367126464844
2020-02-03,9951.00994773866,294.70977783203125
2020-02-04,10070.953030248053,299.2015380859375
2020-02-05,10206.690438096395,302.65679931640625
2020-02-06,10229.240936575432,303.67523193359375
2020-02-07,10160.036394873156,302.0566711425781
2020-02-10,10210.189509895943,304.31170654296875
2020-02-11,10234.670489553202,304.83905029296875
2020-02-12,10289.111023412337,306.8030090332031
2020-02-13,10286.478535940469,306.4757080078125
2020-02-14,10325.996779139312,306.9666442871094
2020-02-18,10289.158457247171,306.1756591796875
2020-02-19,10344.55850099902,307.6394958496094
2020-02-20,10307.240706958948,306.3757629394531
2020-02-21,10203.621382891297,303.2205505371094
2020-02-24,9894.503445240534,293.1641845703125
2020-02-25,9607.566389495487,284.2806701660156
2020-02-26,9572.371770536318,283.2348327636719
2020-02-27,9179.889368430777,270.5143737792969
2020-02-28,9099.919844338947,269.3777770996094
2020-03-02,9513.200446124214,281.0436706542969
2020-03-03,9262.3950482279,272.9967346191406
2020-03-04,9651.915901181585,284.4715576171875
2020-03-05,9364.92654017572,275.01513671875
2020-03-06,9231.944872161845,270.4689025878906
2020-03-09,8617.105395331368,249.3467559814453
2020-03-10,9012.292977158837,262.249267578125
2020-03-11,8589.870566466308,249.4649200439453
2020-03-12,7849.854758585408,225.5968475341797
2020-03-13,8587.008005932017,244.88229370117188
2020-03-16,7658.277840573991,218.08636474609375
2020-03-17,8172.481056221445,229.86131286621094
2020-03-18,7823.32347496531,218.2227783203125
2020-03-19,7778.568411069803,218.6864471435547
2020-03-20,7420.985050789993,209.2623748779297
2020-03-23,7216.275375068967,203.9119110107422
2020-03-24,7818.721654623395,222.38699340820312
2020-03-25,7871.873589045551,225.7161407470703
2020-03-26,8352.576003355092,238.89566040039062
2020-03-27,8143.452204387389,231.78004455566406
2020-03-30,8410.766227120499,239.3071746826172
2020-03-31,8237.666148292019,235.7402801513672
2020-04-01,7955.244694922483,225.13082885742188
2020-04-02,8191.772626359033,230.32577514648438
2020-04-03,8054.407495903149,226.9966278076172
2020-04-06,8615.884188467267,242.24314880371094
2020-04-07,8591.945363487508,242.49005126953125
2020-04-08,8870.30703498915,250.63011169433594
2020-04-09,8969.362538171092,254.44387817382812
2020-04-13,8904.239904350585,252.1209716796875
2020-04-14,9165.391982921734,259.556640625
2020-04-15,8946.74620842956,254.04150390625
2020-04-16,8985.732333697948,255.26718139648438
2020-04-17,9236.468875900497,262.1633605957031
2020-04-20,9056.09814768433,257.5445556640625
2020-04-21,8787.941714999055,249.7246551513672
2020-04-22,9001.880327065219,255.26718139648438
2020-04-23,8962.820679998535,255.24880981445312
2020-04-24,9083.834631629641,258.80670166015625
2020-04-27,9256.169563238882,262.5381774902344
2020-04-28,9214.185076843312,261.3310241699219
2020-04-29,9419.070763539225,268.1723327636719
2020-04-30,9301.51213861519,265.6754150390625
2020-05-01,9041.691325192973,258.6420593261719
2020-05-04,9078.833448923915,259.35546875
2020-05-05,9168.84406287763,261.751708984375
2020-05-06,9098.7768311014,259.9774169921875
2020-05-07,9186.948098049395,263.1144714355469
2020-05-08,9359.589383648577,267.4679260253906
2020-05-11,9343.021921038897,267.5229187011719
2020-05-12,9145.161589649331,262.19073486328125
2020-05-13,9007.061606332412,257.5537109375
2020-05-14,9133.277077674107,260.63592529296875
2020-05-15,9137.657868517197,261.8340148925781
2020-05-18,9426.574909924437,269.8094482421875
2020-05-19,9295.996540753109,267.03814697265625
2020-05-20,9462.932154525295,271.57452392578125
2020-05-21,9401.387537717721,269.69964599609375
2020-05-22,9435.253190044687,270.2118225097656
2020-05-26,9554.323336218164,273.5409851074219
2020-05-27,9721.471845881588,277.6110534667969
2020-05-28,9673.191482494962,277.098876953125
2020-05-29,9719.886772500962,278.33355712890625
2020-06-01,9763.144916703512,279.45843505859375
2020-06-02,9860.017750885372,281.7724914550781
2020-06-03,9985.152733721974,285.5223083496094
2020-06-04,9968.50152094421,284.7723388671875
2020-06-05,10201.570140119318,292.07098388671875
2020-06-08,10349.944149435265,295.60137939453125
2020-06-09,10261.674951708905,293.3970947265625
2020-06-10,10246.006425815518,291.7599792480469
2020-06-11,9662.465894320405,274.9403076171875
2020-06-12,9752.489725048354,278.23297119140625
2020-06-15,9860.429484116308,280.83038330078125
2020-06-16,10014.60358886071,286.2357482910156
2020-06-17,9982.831154651676,285.0467529296875
2020-06-18,9992.288153944812,285.1565246582031
2020-06-19,9932.240092332257,283.5269470214844
2020-06-22,9966.639384912765,285.3457946777344
2020-06-23,10001.927383596481,286.65936279296875
2020-06-24,9759.247604990265,279.34710693359375
2020-06-25,9866.229909176112,282.341796875
2020-06-26,9602.037840135552,275.63580322265625
2020-06-29,9768.27557825463,279.6869201660156
2020-06-30,9931.020055017614,283.2696533203125
2020-07-01,10013.413323134846,285.2539367675781
2020-07-02,10085.830874362764,286.8247985839844
2020-07-06,10225.958015116432,291.25262451171875
2020-07-07,10147.356583756933,288.24871826171875
2020-07-08,10203.05169774369,290.4533386230469
2020-07-09,10136.703721546506,288.7998352050781
2020-07-10,10276.2480710552,291.7486267089844
2020-07-13,10221.599661789673,289.22235107421875
