cash_change,cost_basis,date,price,realized_pnl,shares,ticker,type
-447.96497573728215,,2000-01-03,0.8375882982611655,,534.8271658847885,AAPL,buy
-447.96497573728215,,2000-01-03,32.08497428894043,,13.961830597186857,AXP,buy
-447.96497573728215,,2000-01-03,4.471878125,,100.17378900219516,AMZN,buy
-447.96497573728215,,2000-01-03,37.13886354064941,,12.061892396006499,HD,buy
-447.96497573728215,,2000-01-03,29.619577080154418,,15.123949086951201,COST,buy
-447.9649757372821,,2000-01-03,23.051595792198178,,19.4331437951422,JNJ,buy
-447.96497573728215,,2000-01-03,22.70750209827423,,19.727620140628655,JPM,buy
-447.96497573728215,,2000-01-03,9.627382837963104,,46.53029626814545,LOW,buy
-447.96497573728215,,2000-01-03,12.506417588424682,,35.8188084293536,CAT,buy
-447.9649757372821,,2000-01-03,13.364889153766631,,33.518046471117344,KO,buy
-447.9649757372821,,2000-01-03,12.238668382549285,,36.60242779157417,BAC,buy
-447.96497573728215,,2000-01-03,7.9912352458953855,,56.05703773610903,ABT,buy
-447.96497573728215,,2000-01-03,42.03507260818481,,10.65693355433998,AMGN,buy
-447.9649757372821,,2000-01-03,25.958448654365537,,17.257001052023423,BA,buy
-447.9649757372821,,2000-01-03,9.79524585008621,,45.73289763149124,BLK,buy
-447.96497573728215,,2000-01-03,22.689825777816772,,19.74298877936936,BMY,buy
-447.9649757372821,,2000-01-03,204.8203063934326,,2.187112125869009,C,buy
-447.9649757372821,,2000-01-03,7.406868803405761,,60.47966929443962,COP,buy
-447.96497573728215,,2000-01-03,34.667236388015745,,12.921854246568698,CSCO,buy
-447.96497573728215,,2000-01-03,15.454831085491179,,28.985433309447593,CVX,buy
-447.9649757372821,,2000-01-03,129.3672576507568,,3.4627384383969853,GE,buy
-447.96497573728215,,2000-01-03,60.516578951644895,,7.4023512812121055,GS,buy
149.46049218362774,0.8375882982611655,2000-04-03,0.9961341115951537,23.788298200736705,150.0405321370734,AAPL,sell
91.92610670863428,7.9912352458953855,2000-04-03,8.47752962808609,5.273133947060529,10.843501673421784,ABT,sell
38.71819408108068,42.03507260818481,2000-04-03,39.60025494117737,-2.380584244300209,0.977725879254896,AMGN,sell
-65.24841719757588,,2000-04-03,3.1803495920658107,,20.51611475680366,AMZN,buy
59.7196299930449,32.08497428894043,2000-04-03,31.730704542732237,-0.666762949835892,1.8820770245621095,AXP,sell
32.0635999544225,25.958448654365537,2000-04-03,24.069227918815614,-2.516707976449844,1.3321407758724764,BA,sell
134.89647829734912,12.238668382549285,2000-04-03,14.157409798336028,18.282402179480798,9.52833040922528,BAC,sell
171.66948485790599,9.79524585008621,2000-04-03,12.134997018814087,33.09962723587478,14.146644172367722,BLK,sell
46.71676853073521,22.689825777816772,2000-04-03,21.78068705291748,-1.9499854742993037,2.144871207103524,BMY,sell
141.4561539208895,204.8203063934326,2000-04-03,239.9306552581787,20.70004313489389,0.5895709898706976,C,sell
4.366788967534438,12.506417588424682,2000-04-03,10.822969761657715,-0.6792277497982999,0.40347419088285363,CAT,sell
79.87986794223457,7.406868803405761,2000-04-03,7.658424143314361,2.6238044480214313,10.430326976858282,COP,sell
144.45937776368766,29.619577080154418,2000-04-03,34.895546546173094,21.84127608240192,4.139765444640389,COST,sell
220.5687065885154,34.667236388015745,2000-04-03,46.73228676223755,56.94505320286984,4.719835511382421,CSCO,sell
114.68803636917848,15.454831085491179,2000-04-03,17.180599738311766,11.520262449168982,6.675438466413407,CVX,sell
98.26062440920845,129.3672576507568,2000-04-03,139.06904160919188,6.854892638995963,0.706560017040585,GE,sell
151.8340863425352,60.516578951644895,2000-04-03,72.29232409744263,24.732356132371095,2.1002795004609123,GS,sell
83.68635274886566,37.13886354064941,2000-04-03,38.71576938171387,3.408572283969548,2.1615572694363703,HD,sell
-383.83608618639386,,2000-04-03,28.340957452774045,,13.543511605985758,HON,buy
-383.83608618639386,,2000-04-03,59.28150785331726,,6.474803021814758,IBM,buy
-383.83608618639386,,2000-04-03,37.13859632492065,,10.3352340736915,INTC,buy
-31.488239629260658,,2000-04-03,18.131283865928648,,1.7366800863137826,JNJ,buy
187.71873607262378,22.70750209827423,2000-04-03,28.9450944190979,40.45289780878235,6.485338529376758,JPM,sell
9.46542035070907,13.364889153766631,2000-04-03,11.718001293754577,-1.3303024530132195,0.8077674778679125,KO,sell
-383.83608618639386,,2000-04-03,32.519054788208,,11.803420753962989,LLY,buy
102.47020398787991,9.627382837963104,2000-04-03,10.439849614334106,7.974601108602471,9.815295025628188,LOW,sell
-383.8360861863939,,2000-04-03,20.064979034996032,,19.1296529897655,MCD,buy
-64.18671179824418,,2000-07-03,0.797836856997013,,80.45092331261463,AAPL,buy
90.69107586001492,7.9912352458953855,2000-07-03,10.203923264694213,19.666068801375303,8.887863374454014,ABT,sell
71.54152594812089,42.03507260818481,2000-07-03,45.68616744689941,5.717373785983398,1.5659340659571175,AMGN,sell
-147.75105202298053,,2000-07-03,1.851295023858547,,79.80956580060997,AMZN,buy
17.307954381653786,32.08497428894043,2000-07-03,32.11757000656128,0.017565625092547776,0.5388936453821991,AXP,sell
60.59278641494301,25.958448654365537,2000-07-03,27.08075019721985,2.5111334502953966,2.237485519184899,BA,sell
-57.106832293417945,,2000-07-03,11.60063929567337,,4.922731483834411,BAC,buy
