date,nav,spy
2020-01-02,10000.0,295.3918151855469
2020-01-03,10000.0,293.1549987792969
2020-01-06,10000.0,294.2734680175781
2020-01-07,10000.0,293.4459228515625
2020-01-08,10000.0,295.00994873046875
2020-01-09,10000.0,297.01031494140625
2020-01-10,10000.0,296.1555480957031
2020-01-13,10000.0,298.19244384765625
2020-01-14,10000.0,297.7376708984375
2020-01-15,10000.0,298.41058349609375
2020-01-16,10000.0,300.8927307128906
2020-01-17,10000.0,301.8293762207031
2020-01-21,10000.0,301.23834228515625
2020-01-22,10000.0,301.2746887207031
2020-01-23,10000.0,301.6201477050781
2020-01-24,10000.0,298.9379577636719
2020-01-27,10000.0,294.1461486816406
2020-01-28,10000.0,297.2284851074219
2020-01-29,10000.0,296.9829406738281
2020-01-30,10000.0,297.9468078613281
2020-01-31,10000.0,292.5367431640625
2020-02-03,10000.0,294.7098388671875
2020-02-04,10000.0,299.2016296386719
2020-02-05,10000.0,302.6567687988281
2020-02-06,10000.0,303.6751403808594
2020-02-07,10000.0,302.0566711425781
2020-02-10,10000.0,304.3116760253906
2020-02-11,10000.0,304.8390197753906
2020-02-12,10000.0,306.8030700683594
2020-02-13,10000.0,306.4757080078125
2020-02-14,10000.0,306.9666442871094
2020-02-18,10000.0,306.175537109375
2020-02-19,10000.0,307.6395568847656
2020-02-20,10000.0,306.3756103515625
2020-02-21,10000.0,303.2204895019531
2020-02-24,10000.0,293.1639709472656
2020-02-25,10000.0,284.2806091308594
2020-02-26,10000.0,283.23492431640625
2020-02-27,10000.0,270.5143737792969
2020-02-28,10000.0,269.3778076171875
2020-03-02,10000.0,281.0436706542969
2020-03-03,10000.0,272.9966125488281
2020-03-04,10000.0,284.4715576171875
2020-03-05,10000.0,275.0152282714844
2020-03-06,10000.0,270.4689025878906
2020-03-09,10000.0,249.34678649902344
2020-03-10,10000.0,262.249267578125
2020-03-11,10000.0,249.46490478515625
2020-03-12,10000.0,225.5968780517578
2020-03-13,10000.0,244.88233947753906
2020-03-16,10000.0,218.0863800048828
2020-03-17,10000.0,229.86131286621094
2020-03-18,10000.0,218.22271728515625
2020-03-19,10000.0,218.6864471435547
2020-03-20,10000.0,209.2623291015625
2020-03-23,10000.0,203.91188049316406
2020-03-24,10000.0,222.38694763183594
2020-03-25,10000.0,225.7161407470703
2020-03-26,10000.0,238.89566040039062
2020-03-27,10000.0,231.77999877929688
2020-03-30,10000.0,239.3072052001953
2020-03-31,10000.0,235.74021911621094
2020-04-01,10000.0,225.13084411621094
2020-04-02,10000.0,230.32577514648438
2020-04-03,10000.0,226.99659729003906
2020-04-06,10000.0,242.2431182861328
2020-04-07,10000.0,242.49005126953125
2020-04-08,10000.0,250.630126953125
2020-04-09,10000.0,254.44398498535156
2020-04-13,10000.0,252.12094116210938
2020-04-14,10000.0,259.5566711425781
2020-04-15,10000.0,254.0415802001953
2020-04-16,10000.0,255.2671356201172
2020-04-17,10000.0,262.1632995605469
2020-04-20,10000.0,257.5445251464844
2020-04-21,10000.0,249.72462463378906
2020-04-22,10000.0,255.2671356201172
2020-04-23,10000.0,255.2488555908203
2020-04-24,10000.0,258.80670166015625
2020-04-27,10000.0,262.5381774902344
2020-04-28,10000.0,261.33099365234375
2020-04-29,10000.0,268.1722717285156
2020-04-30,10000.0,265.6753845214844
2020-05-01,10000.0,258.64202880859375
2020-05-04,10000.0,259.35540771484375
2020-05-05,10000.0,261.7517395019531
2020-05-06,10000.0,259.9773864746094
2020-05-07,10000.0,263.11444091796875
2020-05-08,10000.0,267.46807861328125
2020-05-11,10000.0,267.52288818359375
2020-05-12,10000.0,262.1907653808594
2020-05-13,10000.0,257.5536804199219
2020-05-14,10000.0,260.6358947753906
2020-05-15,10000.0,261.83404541015625
2020-05-18,10000.0,269.8094482421875
2020-05-19,10000.0,267.0381164550781
2020-05-20,10000.0,271.5746154785156
2020-05-21,10000.0,269.69964599609375
2020-05-22,10000.0,270.21185302734375
2020-05-26,10000.0,273.541015625
2020-05-27,10000.0,277.61102294921875
2020-05-28,10000.0,277.098876953125
2020-05-29,10000.0,278.3335266113281
2020-06-01,10000.0,279.45855712890625
2020-06-02,10000.0,281.7724609375
2020-06-03,10000.0,285.5223693847656
2020-06-04,10000.0,284.7723693847656
2020-06-05,10000.0,292.0710144042969
2020-06-08,10000.0,295.6014404296875
2020-06-09,10000.0,293.39715576171875
2020-06-10,10000.0,291.7601013183594
2020-06-11,10000.0,274.9403991699219
2020-06-12,10000.0,278.2330017089844
2020-06-15,10000.0,280.8303527832031
2020-06-16,10000.0,286.2357482910156
2020-06-17,10000.0,285.04669189453125
2020-06-18,10000.0,285.1565246582031
2020-06-19,10000.0,283.52691650390625
2020-06-22,10000.0,285.34588623046875
2020-06-23,10000.0,286.6593322753906
2020-06-24,10000.0,279.3470458984375
2020-06-25,10000.0,282.3418273925781
2020-06-26,10000.0,275.6357727050781
2020-06-29,10000.0,279.6869812011719
2020-06-30,10000.0,283.2696228027344
2020-07-01,10000.0,285.2538757324219
2020-07-02,10000.0,286.8247375488281
2020-07-06,10000.0,291.2525939941406
2020-07-07,10000.0,288.2486877441406
2020-07-08,10000.0,290.4533996582031
2020-07-09,10000.0,288.7999267578125
2020-07-10,10000.0,291.74859619140625
2020-07-13,10000.0,289.2224426269531
2020-07-14,10000.0,292.9704895019531
2020-07-15,10000.0,295.6620178222656
2020-07-16,10000.0,294.6882629394531
2020-07-17,10000.0,295.54254150390625
2020-07-20,10000.0,297.93109130859375
2020-07-21,10000.0,298.56494140625
2020-07-22,10000.0,300.2644348144531
2020-07-23,10000.0,296.681640625
2020-07-24,10000.0,294.7709655761719
2020-07-27,10000.0,296.9205017089844
2020-07-28,10000.0,295.0373840332031
2020-07-29,10000.0,298.6659851074219
2020-07-30,10000.0,297.600341796875
2020-07-31,10000.0,299.9519958496094
2020-08-03,10000.0,302.037353515625
2020-08-04,10000.0,303.2040100097656
2020-08-05,10000.0,305.0871887207031
