cash_change,cost_basis,date,price,realized_pnl,shares,ticker,type
-660.2012205178955,,2020-01-02,72.32213549194336,,9.128619004778164,AAPL,buy
-660.2012205178955,,2020-01-02,151.65033146362305,,4.35344396643314,MSFT,buy
-660.2012205178955,,2020-01-02,67.83639268798828,,9.732257190538917,GOOGL,buy
-660.2012205178954,,2020-01-02,94.966927784729,,6.951906689183832,AMZN,buy
-660.2012205178954,,2020-01-02,207.93529358673095,,3.1750320454498597,META,buy
-660.2012205178954,,2020-01-02,5.961308535337448,,110.74770188530829,NVDA,buy
-660.2012205178954,,2020-01-02,28.70407881526947,,23.000258073660728,TSLA,buy
-660.2012205178954,,2020-01-02,121.42346083145141,,5.437180063861995,JNJ,buy
-660.2012205178955,,2020-01-02,117.98177568817138,,5.595789829971901,JPM,buy
-660.2012205178954,,2020-01-02,182.22026891784665,,3.6230943156798037,V,buy
-660.2012205178955,,2020-01-02,292.11113407592774,,2.2601028975030135,MA,buy
-660.2012205178954,,2020-01-02,36.22862751693725,,18.223191596459035,WMT,buy
-660.2012205178955,,2020-01-02,104.03208395767211,,6.346130880032296,PG,buy
-660.2012205178955,,2020-01-02,186.08243709716797,,3.5478964636149604,HD,buy
-660.2012205178953,,2020-01-02,260.2827479644775,,2.5364770645805437,UNH,buy
-41.52206364362932,,2020-04-01,58.14708165054321,,0.714086803069014,AAPL,buy
54.52904742596032,151.65033146362305,2020-04-01,143.80636951904296,-2.9743033936114784,0.3791838122910094,MSFT,sell
-40.71185671723249,,2020-04-01,54.62378882369995,,0.74531367365657,GOOGL,buy
91.11953476322365,94.966927784729,2020-04-01,95.31823263473511,0.33583013037272735,0.9559507372781333,AMZN,sell
-70.04544819354825,,2020-04-01,158.19656711730957,,0.442774767303304,META,buy
96.83677081915197,5.961308535337448,2020-04-01,6.034984778308869,1.1822017316568747,16.045901419205848,NVDA,sell
166.3594828100568,28.70407881526947,2020-04-01,32.08152729148865,17.513835192955526,5.185522537581701,TSLA,sell
13.959726475673827,121.42346083145141,2020-04-01,107.68149001693725,-1.7814960934988626,0.12963905378239193,JNJ,sell
-175.0454688146722,,2020-04-01,70.99608125534057,,2.4655652216227733,JPM,buy
-42.658542708914474,,2020-04-01,146.19163328704832,,0.29179879689252886,V,buy
-74.18708879837556,,2020-04-01,220.40480104827878,,0.33659470413316983,MA,buy
63.94694017459648,36.22862751693725,2020-04-01,34.871546024322505,-2.488596546874021,1.8337856351420214,WMT,sell
16.005664353365116,104.03208395767211,2020-04-01,92.58075506973266,-1.9797432678346603,0.17288327732161513,PG,sell
-31.84942059687084,,2020-04-01,152.33680103607176,,0.20907239997332772,HD,buy
-34.350082467911726,,2020-04-01,212.09517062683105,,0.16195598592081417,UNH,buy
80.42588259445195,72.32213549194336,2020-07-01,87.99776850814818,14.326802167014804,0.9139536599386027,AAPL,sell
-14.467698900782564,,2020-07-01,194.33637976074218,,0.07444668321286274,MSFT,buy
-37.975122210036126,,2020-07-01,71.47037390441893,,0.5313407519152236,GOOGL,buy
76.71352118698329,94.966927784729,2020-07-01,143.83424306030273,26.063222122787792,0.5333467160168599,AMZN,sell
64.95083682880325,207.93529358673095,2020-07-01,235.13170974426268,7.5125128384312845,0.2762317209339651,META,sell
111.00409068793229,5.961308535337448,2020-07-01,9.46882055940628,41.1189736214795,11.723116938535853,NVDA,sell
543.086385639009,28.70407881526947,2020-07-01,74.58974889221192,334.0925942882835,7.280978870485431,TSLA,sell
-158.75505437845038,,2020-07-01,118.33275973052977,,1.3415985120263505,JNJ,buy
-147.53153411956654,,2020-07-01,79.30174161453246,,1.8603820183002213,JPM,buy
-61.24911031712894,,2020-07-01,185.33377497253417,,0.33048002354781714,V,buy
-31.666927485354478,,2020-07-01,290.8094117401123,,0.10889237489209691,MA,buy
-184.01742983856784,,2020-07-01,36.779466020202634,,5.003265401881819,WMT,buy
-154.54662058823234,,2020-07-01,102.42006308288573,,1.5089486955613571,PG,buy
12.982504135456576,186.08243709716797,2020-07-01,212.5896694152832,1.6187534141990607,0.06106836786173231,HD,sell
-65.70813192403887,,2020-07-01,267.2302347564697,,0.24588584440648908,UNH,buy
75.13352995364286,72.32213549194336,2020-10-01,113.1063856086731,27.091880456546086,0.6642731049119615,AAPL,sell
-117.46262953537804,,2020-10-01,202.19105631713865,,0.5809486911781931,MSFT,buy
-55.63481402530333,,2020-10-01,161.17574764251708,,0.34518105136201793,AMZN,buy
188.03158048887263,5.961308535337448,2020-10-01,13.531149040317535,105.1920328391187,13.896202009793257,NVDA,sell
637.7359866913521,28.70407881526947,2020-10-01,149.28210230255127,515.1116148277911,4.272019062264057,TSLA,sell
-104.87058014157844,,2020-10-01,125.00931267776488,,0.83890214173005,JNJ,buy
-109.99148635377409,,2020-10-01,83.25996239624023,,1.3210609660176953,JPM,buy
-109.15835916910319,,2020-10-01,194.78066026611327,,0.560416824852985,V,buy
-37.81766846822856,,2020-10-01,332.00051782531733,,0.1139084622998281,MA,buy
8.351070019519156,36.22862751693725,2020-10-01,44.08595857429504,1.488390497758087,0.1894269805984976,WMT,sell
-17.197608433995153,,2020-10-01,119.61128010635375,,0.14377915208919845,PG,buy
-51.18118969265085,,2020-10-01,239.42575105285644,,0.21376643684977692,HD,buy
-105.31584315115401,,2020-10-01,282.15663051452634,,0.37325312171153113,UNH,buy
13.949645753622592,72.32213549194336,2021-01-04,125.54456456909179,5.913709082681429,0.11111309996973695,AAPL,sell
-63.41608088842336,,2021-01-04,207.71064914093017,,0.30530972365021114,MSFT,buy
-83.20141964547112,,2021-01-04,85.55281840896606,,0.9725152390391791,GOOGL,buy
-99.03315942659688,,2021-01-04,159.44302924041747,,0.6211194048331139,AMZN,buy
498.5324021570793,28.70407881526947,2021-01-04,243.08638842315673,439.66479769634657,2.050844579949292,TSLA,sell
-23.730158891033586,,2021-01-04,133.7218357055664,,0.1774591170232176,JNJ,buy
201.00229771777998,117.98177568817138,2021-01-04,108.9242260597229,-16.71426415288684,1.8453406096047988,JPM,sell
-21.126450657358586,,2021-01-04,208.8976824859619,,0.10113300638832268,V,buy
-65.71780600453143,,2021-01-04,340.2474059936523,,0.19314711838172682,MA,buy
-62.89480645426124,,2021-01-04,45.37749092559814,,1.3860353486133654,WMT,buy
-93.37162153253155,,2021-01-04,119.04882917098998,,0.7843136482965472,PG,buy
-130.3113142889969,,2021-01-04,228.8515971206665,,0.5694140479180825,HD,buy
23.681747868579503,260.2827479644775,2021-01-04,315.68041920776363,4.155828499538735,0.07501810827548816,UNH,sell
-102.66114295750327,,2021-04-01,119.67175484313964,,0.8578560838525924,AAPL,buy
65.31038459365948,151.65033146362305,2021-04-01,231.44852927856445,22.517537723915083,0.2821810309066768,MSFT,sell
186.0988832483599,67.83639268798828,2021-04-01,105.41139745559693,66.33691037299198,1.7654531458683245,GOOGL,sell
-61.58829434695556,,2021-04-01,158.16063805389402,,0.3894034261923567,AMZN,buy
-89.16978526427985,,2021-04-01,296.0337388183593,,0.3012149413111076,META,buy
-128.14344518896613,,2021-04-01,13.755228346920012,,9.315980946085801,NVDA,buy
-148.88575828964358,,2021-04-01,220.73773657684325,,0.6744916415223523,TSLA,buy
-5.232802601361635,,2021-04-01,139.99815293426514,,0.03737765457390463,JNJ,buy
182.13569097042114,117.98177568817138,2021-04-01,133.974084576416,21.741296003492806,1.3594844969180198,JPM,sell
-55.995627322866895,,2021-04-01,208.35728066558838,,0.26874811930733244,V,buy
-17.55953312736253,,2021-04-01,352.12546579589844,,0.04986726276008824,MA,buy
-125.703425887634,,2021-04-01,42.174223290252684,,2.9805747701033916,WMT,buy
