date,nav,spy
2020-01-02,10000.0,295.3917541503906
2020-01-03,9993.466666666667,293.1549987792969
2020-01-06,10035.03655963139,294.2734680175781
2020-01-07,9995.480695242839,293.4459533691406
2020-01-08,10062.855047913461,295.0099182128906
2020-01-09,10141.074471453068,297.01025390625
2020-01-10,10127.950424954224,296.1555480957031
2020-01-13,10183.062827168358,298.1922912597656
2020-01-14,10149.41380905819,297.7377624511719
2020-01-15,10186.131909432253,298.4105529785156
2020-01-16,10284.637127809583,300.8928527832031
2020-01-17,10330.243627293901,301.8293151855469
2020-01-21,10326.529829055307,301.23828125
2020-01-22,10334.76429873263,301.2746276855469
2020-01-23,10342.883580434152,301.6202392578125
2020-01-24,10249.706722417666,298.9378356933594
2020-01-27,10107.637265079613,294.1461486816406
2020-01-28,10231.986998729026,297.2285461425781
2020-01-29,10246.81373246363,296.9830017089844
2020-01-30,10304.178624182814,297.9468078613281
2020-01-31,10121.550772702816,292.5366516113281
2020-02-03,10218.085879060114,294.7098083496094
2020-02-04,10356.005996102083,299.2016296386719
2020-02-05,10463.352670497676,302.6567687988281
2020-02-06,10505.923660429467,303.6752014160156
2020-02-07,10465.412874976982,302.0566711425781
2020-02-10,10579.824498443682,304.3116455078125
2020-02-11,10583.682056056843,304.8390808105469
2020-02-12,10670.11624345804,306.8030090332031
2020-02-13,10663.546249984161,306.4756774902344
2020-02-14,10748.916574973233,306.9667663574219
2020-02-18,10769.0448786805,306.1756591796875
2020-02-19,10864.876988099926,307.6394958496094
2020-02-20,10813.12765383651,306.3757629394531
2020-02-21,10667.987539422564,303.22052001953125
2020-02-24,10253.95567231257,293.1640930175781
2020-02-25,9955.314279501308,284.28057861328125
2020-02-26,9944.495309284855,283.2348327636719
2020-02-27,9508.56788192109,270.51434326171875
2020-02-28,9514.650640258193,269.3777770996094
2020-03-02,9986.687317655105,281.04364013671875
2020-03-03,9692.62131666455,272.99664306640625
2020-03-04,10133.93622818194,284.4715576171875
2020-03-05,9862.216001951034,275.01519775390625
2020-03-06,9730.061139467285,270.4689636230469
2020-03-09,9109.12234631904,249.34677124023438
2020-03-10,9567.067869744518,262.24920654296875
2020-03-11,9159.515724239096,249.4649658203125
2020-03-12,8394.74142098059,225.59689331054688
2020-03-13,9201.954586239854,244.88229370117188
2020-03-16,8143.735729714015,218.0863494873047
2020-03-17,8634.019300065564,229.86131286621094
2020-03-18,8246.87709055223,218.22279357910156
2020-03-19,8276.048595253005,218.6864776611328
2020-03-20,7944.457680564926,209.2623748779297
2020-03-23,7792.642885173593,203.911865234375
2020-03-24,8502.292009194272,222.38697814941406
2020-03-25,8530.804003983583,225.71615600585938
2020-03-26,8957.118150606842,238.89569091796875
2020-03-27,8665.347960538305,231.78001403808594
2020-03-30,8999.481817369746,239.3072509765625
2020-03-31,8850.950386763372,235.74029541015625
2020-04-01,8524.148628072782,225.1308135986328
2020-04-02,8794.67322499512,230.3257598876953
2020-04-03,8664.48630366461,226.99664306640625
2020-04-06,9262.691230762312,242.24314880371094
2020-04-07,9168.78777237772,242.49009704589844
2020-04-08,9444.341623950595,250.6300506591797
2020-04-09,9475.550563929854,254.44398498535156
2020-04-13,9493.845601647581,252.1208953857422
2020-04-14,9786.294516486501,259.5566101074219
2020-04-15,9660.093370538685,254.04159545898438
2020-04-16,9736.43091265496,255.26710510253906
2020-04-17,9938.530340568108,262.1632385253906
2020-04-20,9736.755205983616,257.5445861816406
2020-04-21,9486.946300339874,249.724609375
2020-04-22,9719.334562163875,255.26710510253906
2020-04-23,9751.798767388354,255.2488250732422
2020-04-24,9866.776622212543,258.8066711425781
2020-04-27,9960.094861089927,262.5382995605469
2020-04-28,9853.809055653375,261.3310241699219
2020-04-29,10123.246337226057,268.1722412109375
2020-04-30,10091.440289566332,265.6754150390625
2020-05-01,9874.612506137037,258.6420593261719
2020-05-04,9960.343888071933,259.3554992675781
2020-05-05,10065.930283055006,261.751708984375
2020-05-06,10015.303323940074,259.97747802734375
