cash_change,cost_basis,date,price,realized_pnl,shares,ticker,type
-326.7058439438459,,2020-01-02,72.32212785720824,,4.517370459410281,AAPL,buy
-326.7058439438459,,2020-01-02,5.961306626653671,,54.80440185430278,NVDA,buy
-326.7058439438459,,2020-01-02,292.1111035369873,,1.11843007673441,MA,buy
-326.7058439438459,,2020-01-02,151.65033146362305,,2.154336497590934,MSFT,buy
-326.7058439438459,,2020-01-02,76.50455790481567,,4.270410193734104,QCOM,buy
-326.7058439438458,,2020-01-02,207.93530885620115,,1.571189836593751,META,buy
-326.7058439438459,,2020-01-02,265.5121445068359,,1.2304742012862409,COST,buy
-326.70584394384593,,2020-01-02,57.71596724586487,,5.660579897277095,GE,buy
-326.70584394384593,,2020-01-02,64.38433193969726,,5.074306653516891,C,buy
-326.7058439438459,,2020-01-02,104.032076322937,,3.1404337536211777,PG,buy
-326.7058439438459,,2020-01-02,182.22025364837646,,1.79291729323502,V,buy
-326.7058439438459,,2020-01-02,18.551904327201843,,17.610367010399653,T,buy
-326.7058439438459,,2020-01-02,117.98171461029052,,2.7691226985723953,JPM,buy
-326.7058439438459,,2020-01-02,30.29618639221191,,10.783728345024656,BAC,buy
-326.7058439438459,,2020-01-02,155.7053377822876,,2.0982314967304263,HON,buy
-326.7058439438459,,2020-01-02,44.88853576774597,,7.278157737962926,USB,buy
-326.7058439438459,,2020-01-02,36.2286236995697,,9.017892775974437,WMT,buy
-326.7058439438459,,2020-01-02,107.46479828720092,,3.040119640579613,TXN,buy
-326.7058439438459,,2020-01-02,200.39145763549803,,1.6303381780779667,GS,buy
-326.7058439438458,,2020-01-02,186.0824829055786,,1.7557044534365007,HD,buy
-326.7058439438459,,2020-01-02,433.3874790924072,,0.7538423690228149,BLK,buy
-326.70584394384593,,2020-01-02,106.37875721817016,,3.0711568031746332,LOW,buy
-326.7058439438459,,2020-01-02,109.84929402542113,,2.9741278434455864,PEP,buy
-326.7058439438459,,2020-01-02,27.60283698863983,,11.83595164795214,AVGO,buy
-326.7058439438459,,2020-01-02,87.84255181503295,,3.719220778464851,UPS,buy
-326.7058439438459,,2020-01-02,53.704032285308834,,6.083450907525595,INTC,buy
-326.7058439438459,,2020-01-02,195.7418886856079,,1.6690645325722109,AMGN,buy
-326.7058439438459,,2020-01-02,49.01346099052429,,6.665635059050564,ORCL,buy
-326.7058439438459,,2020-01-02,115.77758185424804,,2.8218402795381805,AXP,buy
