cash_change,cost_basis,date,price,realized_pnl,shares,ticker,type
-227.43181818181816,,2020-01-02,72.32213549194336,,3.1447055128392045,AAPL,buy
-227.43181818181816,,2020-01-02,151.65037727203367,,1.4997115224701758,MSFT,buy
-227.43181818181816,,2020-01-02,53.704032285308834,,4.234911393125204,INTC,buy
-227.43181818181816,,2020-01-02,40.1322637599945,,5.6670567985385265,CSCO,buy
-227.4318181818182,,2020-01-02,49.01345717315674,,4.640191312731477,ORCL,buy
-227.43181818181816,,2020-01-02,98.08565599822997,,2.318706194776557,IBM,buy
-227.4318181818182,,2020-01-02,76.504580809021,,2.9727869334982446,QCOM,buy
-227.4318181818182,,2020-01-02,107.46479065246581,,2.116337981965814,TXN,buy
-227.4318181818182,,2020-01-02,121.4234455619812,,1.8730469814062762,JNJ,buy
-227.43181818181816,,2020-01-02,26.601927033424374,,8.549448989017156,PFE,buy
-227.43181818181816,,2020-01-02,71.20839560394286,,3.1938904991875017,MRK,buy
-227.43181818181816,,2020-01-02,76.83485181503295,,2.9600085483254683,ABT,buy
-227.43181818181816,,2020-01-02,122.49237718963622,,1.8567018078987907,LLY,buy
-227.4318181818182,,2020-01-02,195.7418886856079,,1.161896514379246,AMGN,buy
-227.43181818181816,,2020-01-02,49.30445510177612,,4.612804618007537,BMY,buy
-227.4318181818182,,2020-01-02,260.2827174255371,,0.8737876276663776,UNH,buy
-227.43181818181816,,2020-01-02,117.98176041870116,,1.927686257390072,JPM,buy
-227.4318181818182,,2020-01-02,30.296178757476806,,7.506947328322394,BAC,buy
-227.4318181818182,,2020-01-02,45.33826747398376,,5.016332357920917,WFC,buy
-227.43181818181813,,2020-01-02,64.38432430496215,,3.5324098006304587,C,buy
-227.43181818181816,,2020-01-02,44.88853576774597,,5.066590261677373,USB,buy
-227.4318181818182,,2020-01-02,115.77755895004272,,1.964386019573565,AXP,buy
-227.43181818181816,,2020-01-02,200.39148817443845,,1.134937517824317,GS,buy
-227.4318181818182,,2020-01-02,433.3874790924072,,0.5247770855265641,BLK,buy
-227.4318181818182,,2020-01-02,36.22863133430481,,6.277681761785561,WMT,buy
-227.4318181818182,,2020-01-02,104.0320686882019,,2.1861702939260192,PG,buy
-227.43181818181816,,2020-01-02,44.90490463981628,,5.064743372824333,KO,buy
-227.4318181818182,,2020-01-02,109.84930166015624,,2.0703983980292398,PEP,buy
-227.43181818181816,,2020-01-02,171.52479904479978,,1.3259413183886972,MCD,buy
-227.43181818181816,,2020-01-02,186.0824676361084,,1.222209814126982,HD,buy
-227.4318181818182,,2020-01-02,106.37876485290526,,2.1379437756802164,LOW,buy
-227.43181818181816,,2020-01-02,265.5122361236572,,0.8565775404636952,COST,buy
-227.43181818181816,,2020-01-02,57.715959611129755,,3.940536027022255,GE,buy
-227.4318181818182,,2020-01-02,331.5805157775879,,0.6859022390036065,BA,buy
-227.43181818181816,,2020-01-02,132.1603186035156,,1.7208782529052424,CAT,buy
-227.43181818181816,,2020-01-02,119.087636529541,,1.9097853044165605,MMM,buy
-227.4318181818182,,2020-01-02,155.7053377822876,,1.4606552442012037,HON,buy
-227.43181818181816,,2020-01-02,87.84255181503295,,2.5890848282813272,UPS,buy
-227.4318181818182,,2020-01-02,52.643216381072996,,4.320249289775303,XOM,buy
-227.43181818181816,,2020-01-02,90.45695233154296,,2.514254707015053,CVX,buy
-227.43181818181816,,2020-01-02,51.46609673957824,,4.419060946716783,COP,buy
-227.4318181818182,,2020-01-02,34.33505669822693,,6.623895226990053,SLB,buy
-227.43181818181816,,2020-01-02,18.551908144569396,,12.259214330381056,T,buy
14.24665278547865,72.32213549194336,2020-04-01,58.0657288684845,-3.497864903978728,0.2453538957161201,AAPL,sell
47.31510447804154,151.65037727203367,2020-04-01,143.80636951904296,-2.5808317642715792,0.32901953255815997,MSFT,sell
26.267050345038417,53.704032285308834,2020-04-01,45.95610088920593,-4.428471957226904,0.5715682975012348,INTC,sell
11.433601045842462,40.1322637599945,2020-04-01,31.724856893348694,-3.030019529054462,0.36039882179073235,CSCO,sell
