cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,shares,strike,ticker,type
-664.1078472137451,,,,,2020-01-03,,,,6.641078472137451,,100,,F,buy_lot
-1863.4342193603516,,,,,2020-01-03,,,,18.634342193603516,,100,,T,buy_lot
-2644.0689086914062,,,,,2020-01-03,,,,26.440689086914062,,100,,PFE,buy_lot
-2964.638137817383,,,,,2020-01-03,,,,29.646381378173828,,100,,BAC,buy_lot
-465.93772172927856,,,,,2020-01-03,,,,6.641078472137451,,70.15994821987326,,F,buy_directional
-465.93772172927856,,,,,2020-01-03,,,,18.634342193603516,,25.00424844023836,,T,buy_directional
-465.93772172927856,,,,,2020-01-03,,,,29.646381378173828,,15.716512439940136,,BAC,buy_directional
-465.93772172927856,,,,,2020-01-06,,,,26.40673065185547,,17.644657639454486,,PFE,buy_directional
28.670339248115706,,,,,2020-02-03,2020-03-07,28.670339248115706,,,,,27,PFE,write_cc
24.488368097849378,,,,,2020-02-03,2020-03-07,24.488368097849378,,,,,29,BAC,write_cc
17.392606991024806,,,,,2020-02-04,2020-03-08,17.392606991024806,,,,,19.0,T,write_cc
19.146435745277522,,,,,2020-02-07,2020-03-11,19.146435745277522,,,,,6.125772981643677,F,write_cc
-6.538309421635979,6.538309421635979,,,,2020-02-14,2020-03-07,,28.670339248115706,,22.132029826479727,,27,PFE,btc_call
33.454598327609105,,,,,2020-02-14,2020-03-18,33.454598327609105,,,,,26,PFE,write_cc
-2.9851901023475347,2.9851901023475347,,,,2020-02-24,2020-03-11,,19.146435745277522,,16.161245642929988,,6.125772981643677,F,btc_call
-4.477193367099974,4.477193367099974,,,,2020-02-24,2020-03-18,,33.454598327609105,,28.97740496050913,,26,PFE,btc_call
25.17970452242242,,,,,2020-02-24,2020-03-28,25.17970452242242,,,,,25.0,PFE,write_cc
-2.8427191133418184,2.8427191133418184,,,,2020-02-25,2020-03-07,,24.488368097849378,,21.64564898450756,,29,BAC,btc_call
-3.637221609523289,3.637221609523289,,,,2020-02-25,2020-03-08,,17.392606991024806,,13.755385381501517,,19.0,T,btc_call
18.715464093310374,,,,,2020-02-25,2020-03-29,18.715464093310374,,,,,5.5,F,write_cc
15.31648103996277,,,,,2020-02-25,2020-03-29,15.31648103996277,,,,,19.0,T,write_cc
43.09665197266091,,,,,2020-02-25,2020-03-29,43.09665197266091,,,,,28,BAC,write_cc
-8.52619741843319,8.52619741843319,,,,2020-02-27,2020-03-28,,25.17970452242242,,16.653507103989227,,25.0,PFE,btc_call
-5.687372853392003,5.687372853392003,,,,2020-02-27,2020-03-29,,15.31648103996277,,9.629108186570768,,19.0,T,btc_call
-14.6229327821215,14.6229327821215,,,,2020-02-27,2020-03-29,,43.09665197266091,,28.473719190539406,,28,BAC,btc_call
