cash_change,cost_basis,date,price,realized_pnl,shares,ticker,type
-227.4318181818182,,2022-01-03,177.91081214752197,,1.2783473665065048,AAPL,buy
-227.4318181818182,,2022-01-03,322.08174482421873,,0.7061307318300288,MSFT,buy
-227.43181818181816,,2022-01-03,49.38503209609985,,4.605278330876684,INTC,buy
-227.43181818181816,,2022-01-03,55.329410129165645,,4.110505021667177,CSCO,buy
-227.43181818181816,,2022-01-03,82.51405641098022,,2.756279694323131,ORCL,buy
-227.43181818181816,,2022-01-03,113.93020500030516,,1.9962381194803342,IBM,buy
-227.4318181818182,,2022-01-03,167.77498362731933,,1.3555764588063697,QCOM,buy
-227.43181818181816,,2022-01-03,166.5625724227905,,1.3654437180792425,TXN,buy
-227.43181818181816,,2022-01-03,150.2667189590454,,1.5135208897707004,JNJ,buy
-227.4318181818182,,2022-01-03,43.89242424354553,,5.181573405922379,PFE,buy
-227.43181818181816,,2022-01-03,66.6406862838745,,3.412807263313724,MRK,buy
-227.4318181818182,,2022-01-03,126.73118212127685,,1.794600305741445,ABT,buy
-227.43181818181816,,2022-01-03,260.69795539855954,,0.8723958645326407,LLY,buy
-227.43181818181816,,2022-01-03,195.79299560241697,,1.1615932300440814,AMGN,buy
-227.43181818181816,,2022-01-03,50.86732355194091,,4.471078922593327,BMY,buy
-227.4318181818182,,2022-01-03,460.6999804656982,,0.4936657864667563,UNH,buy
-227.43181818181816,,2022-01-03,143.64537278137206,,1.5832867692018795,JPM,buy
-227.43181818181816,,2022-01-03,41.0846129825592,,5.535693333130948,BAC,buy
-227.43181818181816,,2022-01-03,45.11776868934631,,5.04084809130913,WFC,buy
-227.4318181818182,,2022-01-03,53.62127939147949,,4.24144706659046,C,buy
-227.43181818181816,,2022-01-03,46.811320900344846,,4.858478970631712,USB,buy
-227.4318181818182,,2022-01-03,158.79564951171875,,1.4322295282090474,AXP,buy
-227.4318181818182,,2022-01-03,352.3086383605957,,0.6455470954108048,GS,buy
-227.4318181818182,,2022-01-03,811.8820067749023,,0.2801291521230555,BLK,buy
-227.43181818181822,,2022-01-03,45.50765552444458,,4.9976606256864295,WMT,buy
-227.43181818181816,,2022-01-03,144.25216625823973,,1.5766267091938884,PG,buy
-227.43181818181816,,2022-01-03,51.660465643310545,,4.402434537700843,KO,buy
-227.43181818181816,,2022-01-03,148.18747519989012,,1.5347573597231166,PEP,buy
-227.4318181818182,,2022-01-03,240.54278914642333,,0.9454942257419979,MCD,buy
-227.43181818181813,,2022-01-03,361.74440747985835,,0.6287085950167215,HD,buy
