date,nav,spy
2022-01-03,10000.0,448.373046875
2022-01-04,9926.078285379912,448.222900390625
2022-01-05,9729.65681739929,439.61602783203125
2022-01-06,9687.52955538629,439.203125
2022-01-07,9618.449861765288,437.4667053222656
2022-01-10,9596.064206051266,436.92230224609375
2022-01-11,9652.278213894231,440.90185546875
2022-01-12,9704.944568622324,442.0938720703125
2022-01-13,9543.607088778377,436.00250244140625
2022-01-14,9533.068424634888,436.1807861328125
2022-01-18,9337.948906419313,428.4561462402344
2022-01-19,9271.413963802388,424.00726318359375
2022-01-20,9179.915314699818,419.3143615722656
2022-01-21,8982.673100838227,411.0829162597656
2022-01-24,8982.795277038502,412.8287353515625
2022-01-25,8849.192606229599,407.78851318359375
2022-01-26,8898.646400100495,406.76544189453125
2022-01-27,8843.628504890548,404.7568054199219
2022-01-28,9147.387106070442,414.8091735839844
2022-01-31,9338.711938888164,422.2802429199219
2022-02-01,9395.190180194786,425.1336364746094
2022-02-02,9514.935850086777,429.2633972167969
2022-02-03,9185.607233954994,419.173583984375
2022-02-04,9246.244516716102,421.1445617675781
2022-02-07,9163.92451200117,419.7930908203125
2022-02-08,9234.846679978553,423.2470703125
2022-02-09,9357.682158960119,429.4418029785156
2022-02-10,9176.280166307806,421.7265625
2022-02-11,8973.31367082142,413.4106140136719
2022-02-14,8987.506428238381,412.0590515136719
2022-02-15,9149.788410408228,418.7043151855469
2022-02-16,9156.219515582994,419.173583984375
2022-02-17,8969.575479422525,410.2194519042969
2022-02-18,8882.904450349513,407.56317138671875
2022-02-22,8738.403808827698,403.189453125
2022-02-23,8544.682999621225,396.0373840332031
2022-02-24,8671.986955380045,401.99737548828125
2022-02-25,8838.286645295826,410.8670959472656
2022-02-28,8812.114593526081,409.81585693359375
2022-03-01,8672.059068778837,403.5743103027344
2022-03-02,8777.922032743625,410.99847412109375
2022-03-03,8715.18074204983,408.95233154296875
2022-03-04,8634.964823338858,405.6297607421875
2022-03-07,8361.053399181215,393.672119140625
2022-03-08,8288.870805135633,390.6873779296875
2022-03-09,8546.355202124836,401.1620788574219
2022-03-10,8514.437994661457,399.3506164550781
2022-03-11,8384.879813780153,394.2729187011719
2022-03-14,8353.597160851157,391.391357421875
2022-03-15,8607.441015334185,399.9981689453125
2022-03-16,8808.552986479739,408.86785888671875
2022-03-17,8911.020299002446,413.983154296875
2022-03-18,9055.004102474766,418.5174865722656
2022-03-21,9031.602741117968,418.3951110839844
2022-03-22,9150.090932580497,423.2908935546875
2022-03-23,9035.491349336586,417.83953857421875
2022-03-24,9194.046284079624,424.13824462890625
2022-03-25,9208.355224380262,426.2095947265625
2022-03-28,9331.230297377115,429.2412414550781
2022-03-29,9452.425793742299,434.55126953125
2022-03-30,9391.281320951874,431.86798095703125
2022-03-31,9232.87381602964,425.22100830078125
2022-04-01,9288.27353246436,426.42608642578125
2022-04-04,9416.960440225032,430.07916259765625
2022-04-05,9301.009789938757,424.6466369628906
2022-04-06,9151.014314135406,420.4004211425781
2022-04-07,9162.505890510605,422.51885986328125
2022-04-08,9133.808545888209,421.3890380859375
2022-04-11,8937.769878859586,414.1865234375
2022-04-12,8894.573546963415,412.65191650390625
2022-04-13,9014.628968438432,417.3782043457031
2022-04-14,8877.419812199485,412.1811828613281
2022-04-18,8892.098182238831,412.3505859375
2022-04-19,9061.42309017761,419.0070495605469
2022-04-20,9023.31968960147,418.6963806152344
2022-04-21,8906.970768361842,412.4353332519531
2022-04-22,8688.39294956218,401.11846923828125
2022-04-25,8782.538949710957,403.4439392089844
2022-04-26,8486.349966008216,391.7599182128906
2022-04-27,8516.1248971461,392.8614501953125
2022-04-28,8803.002805683222,402.7849426269531
2022-04-29,8478.777116384814,387.8997497558594
2022-05-02,8545.675816185656,390.23468017578125
2022-05-03,8542.992591219478,392.0235595703125
2022-05-04,8776.59001017611,403.96173095703125
2022-05-05,8407.507325743592,389.6038818359375
2022-05-06,8348.44276765991,387.2783508300781
2022-05-09,8106.007819158356,374.8787841796875
