date,nav,spy
2022-01-03,10000.0,448.3730773925781
2022-01-04,10093.24409599071,448.22283935546875
2022-01-05,10038.191558752947,439.6160583496094
2022-01-06,10068.197178290204,439.20306396484375
2022-01-07,10116.762854815617,437.46661376953125
2022-01-10,10112.555547179767,436.9222412109375
2022-01-11,10195.153641152805,440.90191650390625
2022-01-12,10192.644178784254,442.0938720703125
2022-01-13,10154.627089800693,436.0024719238281
2022-01-14,10148.749866500277,436.1808166503906
2022-01-18,10012.985516276072,428.4561767578125
2022-01-19,9901.920531797297,424.00732421875
2022-01-20,9798.521999037086,419.3143615722656
2022-01-21,9687.714403468959,411.0829772949219
2022-01-24,9690.008050843118,412.8287658691406
2022-01-25,9723.802268335196,407.7885437011719
2022-01-26,9685.042197568499,406.7654113769531
2022-01-27,9653.089027029473,404.75689697265625
2022-01-28,9782.857946569078,414.8092041015625
2022-01-31,9868.59613516977,422.2802734375
2022-02-01,9993.985329687628,425.13360595703125
2022-02-02,10074.070264971817,429.2634582519531
2022-02-03,9938.27611934332,419.1735534667969
2022-02-04,9939.78599362376,421.1446228027344
2022-02-07,9966.685600406203,419.7930908203125
2022-02-08,10010.151226421385,423.2470703125
2022-02-09,10088.350489534341,429.4417419433594
2022-02-10,9938.864249035922,421.7265625
2022-02-11,9843.015709163177,413.41058349609375
2022-02-14,9765.350356826693,412.05908203125
2022-02-15,9877.588196316117,418.7042541503906
2022-02-16,9875.836047566674,419.1735534667969
2022-02-17,9733.905549654097,410.219482421875
2022-02-18,9663.29533144884,407.5632019042969
2022-02-22,9572.950905811018,403.1893615722656
2022-02-23,9470.883933518055,396.0373229980469
2022-02-24,9439.99885938252,401.9974060058594
2022-02-25,9696.030066856489,410.8670349121094
2022-02-28,9653.245231375367,409.8158874511719
2022-03-01,9495.210457655669,403.57427978515625
2022-03-02,9689.322161608472,410.99853515625
2022-03-03,9671.811603301343,408.9522705078125
2022-03-04,9634.235323471,405.6297607421875
2022-03-07,9478.622470307158,393.67218017578125
2022-03-08,9465.380430456597,390.68731689453125
2022-03-09,9577.214562503545,401.16204833984375
2022-03-10,9568.96459560152,399.3505554199219
2022-03-11,9515.24497664003,394.2728576660156
2022-03-14,9510.501219664098,391.3913269042969
2022-03-15,9604.397908436542,399.99822998046875
2022-03-16,9715.69280933643,408.867919921875
2022-03-17,9850.135084926926,413.983154296875
2022-03-18,9895.41584406902,418.5174560546875
2022-03-21,9895.185598037291,418.39508056640625
2022-03-22,9953.407445186147,423.2908630371094
2022-03-23,9856.252297247012,417.8396301269531
2022-03-24,9948.360334173567,424.13824462890625
2022-03-25,10025.921970014224,426.20953369140625
2022-03-28,10005.450131661408,429.2412414550781
2022-03-29,10072.203902753734,434.55126953125
2022-03-30,10039.14500598898,431.86798095703125
2022-03-31,9881.263971914846,425.2209777832031
2022-04-01,9895.573520985512,426.4261169433594
2022-04-04,9925.842712933756,430.0791320800781
2022-04-05,9829.706734001333,424.6466369628906
2022-04-06,9834.628173322179,420.4004821777344
2022-04-07,9887.868350135783,422.51885986328125
2022-04-08,9926.0776957083,421.3890380859375
2022-04-11,9821.021154784037,414.1865234375
2022-04-12,9795.479737870597,412.65185546875
2022-04-13,9869.890226019334,417.3782653808594
2022-04-14,9831.010531338965,412.18115234375
