cash_change,cost_basis,date,price,realized_pnl,shares,ticker,type
-220.63622252795713,,2000-01-03,0.8375882982611655,,263.41846344558326,AAPL,buy
-220.63622252795713,,2000-01-03,35.40176280059814,,6.232351303258529,MSFT,buy
-220.63622252795716,,2000-01-03,24.727946944999694,,8.922545127531205,INTC,buy
-220.6362225279571,,2000-01-03,34.66721348381042,,6.364406029662412,CSCO,buy
-220.63622252795713,,2000-01-03,23.46406044769287,,9.403156074363567,ORCL,buy
-220.63622252795713,,2000-01-03,56.3067669265747,,3.918467256620714,IBM,buy
-220.6362225279571,,2000-01-03,54.72116605262756,,4.032008790086131,QCOM,buy
-220.6362225279571,,2000-01-03,31.018260551834103,,7.113107524493695,TXN,buy
-220.63622252795713,,2000-01-03,23.051593883514403,,9.57140853872788,JNJ,buy
-220.63622252795713,,2000-01-03,11.086799673080444,,19.900803571266643,PFE,buy
-220.63622252795713,,2000-01-03,24.719487658500668,,8.925598522754317,MRK,buy
-220.63622252795713,,2000-01-03,7.9912352458953855,,27.609776929203107,ABT,buy
-220.63622252795716,,2000-01-03,32.4762544631958,,6.7937705925415885,LLY,buy
-220.63622252795713,,2000-01-03,42.03507642555236,,5.248859792576382,AMGN,buy
-220.63622252795713,,2000-01-03,22.689829595184325,,9.724014083154897,BMY,buy
-220.6362225279571,,2000-01-03,5.112562668180465,,43.155700349875694,UNH,buy
-220.63622252795716,,2000-01-03,22.707498280906677,,9.716447835800407,JPM,buy
-220.6362225279571,,2000-01-03,12.238662656497954,,18.02780489343852,BAC,buy
-220.63622252795713,,2000-01-03,9.499228083133696,,23.226752805283894,WFC,buy
-220.63622252795713,,2000-01-03,204.8202911239624,,1.0772185769154217,C,buy
-220.6362225279571,,2000-01-03,8.47245641708374,,26.041588373717616,USB,buy
-220.63622252795716,,2000-01-03,32.08497428894043,,6.876621453426242,AXP,buy
-220.63622252795713,,2000-01-03,60.51651405639648,,3.6458845319864603,GS,buy
-220.63622252795713,,2000-01-03,9.7952468044281,,22.52482524771249,BLK,buy
-220.63622252795713,,2000-01-03,14.130614911365507,,15.614056706795926,WMT,buy
-220.6362225279571,,2000-01-03,26.45430561275482,,8.340276466057698,PG,buy
-220.63622252795713,,2000-01-03,13.364892971134184,,16.508641184369566,KO,buy
-220.63622252795713,,2000-01-03,18.434609983062742,,11.9685864105979,PEP,buy
-220.63622252795716,,2000-01-03,20.65129233493805,,10.683894206208235,MCD,buy
-220.63622252795716,,2000-01-03,37.13887881011963,,5.9408423085685085,HD,buy
-220.63622252795716,,2000-01-03,9.627382837963104,,22.917570251588526,LOW,buy
-220.63622252795713,,2000-01-03,29.61958280620575,,7.448998318832854,COST,buy
-220.63622252795713,,2000-01-03,129.3673339981079,,1.7055018118498453,GE,buy
-220.63622252795713,,2000-01-03,25.958437202262875,,8.499595750268186,BA,buy
-220.63622252795713,,2000-01-03,12.506422360134124,,17.64183362551902,CAT,buy
-220.63622252795713,,2000-01-03,19.08817002983093,,11.558793859398127,MMM,buy
-220.63622252795713,,2000-01-03,29.4263228477478,,7.4979202691934015,HON,buy
-220.63622252795716,,2000-01-03,30.898601348495482,,7.140654039303316,UPS,buy
-220.6362225279571,,2000-01-03,16.928015256690976,,13.03379156872796,XOM,buy
-220.63622252795713,,2000-01-03,15.454823450756072,,14.276204657463317,CVX,buy
-220.6362225279571,,2000-01-03,7.406869280576705,,29.788054057675794,COP,buy
-220.63622252795716,,2000-01-03,16.35054679737091,,13.494118897811687,SLB,buy
-220.6362225279571,,2000-01-03,6.108683258628845,,36.11845846096154,T,buy
