cash_change,cost_basis,date,price,realized_pnl,shares,ticker,type
-384.88461538461536,,2000-01-04,0.7669711737632751,,501.82409528654546,AAPL,buy
-384.88461538461536,,2000-01-04,34.20589988441467,,11.251995026740444,MSFT,buy
-384.8846153846154,,2000-01-04,4.099743003368378,,93.88018104266328,AMZN,buy
-384.88461538461536,,2000-01-04,22.207665534210204,,17.33116048563109,JNJ,buy
-384.88461538461536,,2000-01-04,22.209272645950314,,17.32990636479921,JPM,buy
-384.88461538461536,,2000-01-04,13.601881829261778,,28.296423996024703,WMT,buy
-384.8846153846154,,2000-01-04,25.94526919288635,,14.834481481893535,PG,buy
-384.88461538461536,,2000-01-04,0.08688538805693387,,4429.796816150604,NVDA,buy
-384.8846153846154,,2000-01-04,35.18045091667175,,10.940297959689353,HD,buy
-384.88461538461536,,2000-01-04,5.047172116327285,,76.25747775462972,UNH,buy
-384.88461538461536,,2000-01-04,15.454829176807403,,24.90384144537813,CVX,buy
-384.8846153846154,,2000-01-04,27.997163422203062,,13.747271806806824,COST,buy
-384.8846153846154,,2000-01-04,7.762913720798492,,49.57991666884406,ABT,buy
-384.8846153846154,,2000-01-04,11.738185729026794,,32.78910593762823,TMO,buy
-384.8846153846154,,2000-01-04,31.454616202163695,,12.236188574386103,LLY,buy
-384.88461538461536,,2000-01-04,21.390777507972714,,17.993016627897802,ORCL,buy
-384.8846153846154,,2000-01-04,32.72232579307556,,11.76214116986946,CSCO,buy
-384.88461538461536,,2000-01-04,29.699131019973752,,12.959457134478662,TXN,buy
-384.8846153846154,,2000-01-04,9.353356925487518,,41.149356156378516,BLK,buy
-384.88461538461536,,2000-01-04,38.82087966690063,,9.914371304490938,AMGN,buy
-384.8846153846154,,2000-01-04,28.907233390426633,,13.314474276603715,HON,buy
-384.88461538461536,,2000-01-04,9.109315480804442,,42.251760430919475,LOW,buy
-384.88461538461536,,2000-01-04,20.227837478256223,,19.02747220499198,MCD,buy
-384.8846153846154,,2000-01-04,4.121554487228393,,93.38336217009164,NKE,buy
-384.88461538461536,,2000-01-04,49.45692457923889,,7.7822189442443195,QCOM,buy
72.04937904369213,0.7669711737632751,2000-04-03,0.9961337542176246,16.575105051784917,72.32902081536287,AAPL,sell
